business_id,type,checkins
83_p9vIqOq1TUIf3_GD7bA,checkin,237
1xRLO1NM8-3soskp2fEgyw,checkin,45
Ts4xsKPU7FNPPZRj-nRjIg,checkin,615
UtWJ8NGMg-3z28s0RzlUoQ,checkin,18
Nnk1gNKSi_12ziNuK2llxA,checkin,7
t15LDNaHFpu-bAEJSdoV-g,checkin,6
bZcqORBnVApUA2-SEn7VEQ,checkin,17
WWlNzfSllSQhr4whj0W_ng,checkin,17
R03p_2AxXpNtM31lutbnkA,checkin,24
YMEtEsUDQKOYJOcE5Fx3gQ,checkin,50
-raHHPz6kBnQgBH-oCuDFA,checkin,14
1IwQhGGOrVNGGQskR_3uLw,checkin,33
ZDKi3qsO8lSSogrIdbLJKg,checkin,36
qA1PXTv0snTO1gpNPm-Jfw,checkin,310
riqqVx-LssGUErBeQisKng,checkin,57
fp-tknN_5XBmhUS4fSJBgQ,checkin,83
B9C6j80ob0f1pwi1Cnnd1Q,checkin,31
wfCLz9-aeShbPB7CaTY-qQ,checkin,1327
XC9blQA9Mk4w7oKVJ0nJXw,checkin,14
2SwC8wqpZC4B9iFVTgYT9A,checkin,309
PzG0XmAmtXFs6Fdnubf41g,checkin,151
lHP5STO7aomlEQixH8m1aA,checkin,46
0TvxDhCKPQ-_dDyffEnJQQ,checkin,8
EPILrBqmgQxd-R1gZ1EWJg,checkin,4
-iVcmhjfq79QoTWzrb6pKg,checkin,381
PavTvJ4JSe9rAwjlr-wrsg,checkin,103
5V1K5DRpGrObijbtCuPbcg,checkin,50
l_Wey2YC6NvVUIH8vTygGg,checkin,49
XWLtYPhCpHht5Zn52zp3-Q,checkin,53
cuuJJ9W3tYmidaLvlzvPBw,checkin,38
2PfavOTufsPCRdYm-bFcpw,checkin,475
qUeBDN0D8SC93KeAHhiL-g,checkin,93
LltDzuzRbAJbSrqD4JH-3A,checkin,3
VkqKyq09rDYMhFk5nElWWA,checkin,4
QIJa5h2d65Bgh82zct7c7A,checkin,20
PTkChuI3GPCw-ZL1Iph76A,checkin,12
YRDKsBFYP7G0E8BLJKIkvA,checkin,115
IxQ1ATP_Wg_QujO9nywzcQ,checkin,219
TyIsuojeKcTb4Acfg7xqew,checkin,11
oj8bMz76cKXQClpFTFNW9w,checkin,11
hBAcj7X5JHeX2hvmptwH-w,checkin,58
k1A8pNspBPinGDivxkuDSA,checkin,28
e5DtayybW4jbKcDBwEUmOQ,checkin,9
Z7HNl4Gz00cA0_wt0S-vSw,checkin,57
OjzR6hUYasFReo0vhVn0-w,checkin,32
6AnorAMPkTdSDbUkOoV1Rw,checkin,25
0Ov1O2Gd0dwjkSaj5NJbhg,checkin,23
EEuGTah-oEssSl3o6pK-ZQ,checkin,127
49nxzKLr2qQnLF58qo2p1w,checkin,3
q_BKmbdlYfQJroJVHfYMUQ,checkin,79
zq--BGVHu7_fb1VHEwg2ow,checkin,3
99WYCuBEsO7OUCDWbbrrew,checkin,20
cZl7-Um4HiJWFgDVmMan2Q,checkin,30
vMCCvnDU-Iz_D_pmbcMqzA,checkin,7
xMekAmDsCdhk21Buf9ucSQ,checkin,9
hUV4bjXE8Ijd-pDNr8S6mA,checkin,6
Z101WZaISochG6g7tI2ZVw,checkin,149
-Gfj1gA0Ir07zToO-4fBpw,checkin,239
Eixtf79t1_ZKaC-7J2kAWg,checkin,10
Z0OGW8PysysRXE0dR7QxQQ,checkin,19
5GS5sBSscgcex0IFTDL9Bg,checkin,81
fB7XYJYrTtchlTmzSQVMbQ,checkin,172
obAdXU3RULuUOww759_h_w,checkin,10
AAcw9y30cRuMo0oa8UBiIw,checkin,3
YUZVBdGmagwXV-yOhR-1GQ,checkin,12
OIL-eZX8d10jgWPLW-E7zA,checkin,14
N2DwycuZl95miWf39Yskaw,checkin,26
PSlOtPIo28BvWOzdLmRRRQ,checkin,14
0zO219KZJf-5QsRNRMmELQ,checkin,3
7KjZ49Xrb6QWjnu5NlxzVw,checkin,50
Wnn1GtvvtnkFdPfdRcYW-Q,checkin,12
9NL2GL4jSPVj9SKijH5PqA,checkin,145
dWVFS5Jiu6Ee7vOLc2T6-w,checkin,7
uie9L4ZrCvDdkSdByOVTLQ,checkin,83
wan0X-oHpLgGTPXqaICZCw,checkin,14
QnyzlVMyx0Exri-Lay10cA,checkin,26
81sqVj0xHyJXGYT0ip5fmQ,checkin,8
Wn5bLgkx_S7W1q2TeoLL1g,checkin,11
m61vZsAxmTEq3uiCjFjM8Q,checkin,73
WY6FFxpa6ztwDH5OhS6WDw,checkin,15
nvrXLcmknaYuiGRquWhwIQ,checkin,5
93UCt9OgWYmypZCpXtUu8g,checkin,133
LV_OCiR9rOHVHgdhbpqw2Q,checkin,26
cRv7pLvIe3eI0efndQBcLg,checkin,22
za5fND9-pXyVSk5rM28MsQ,checkin,6
ORTRrw3ClZ0Ld0LgY1H_5g,checkin,59
9aw0t0rlACKkMaxsX0KlKA,checkin,25
-xymuZ9qLUwGQBD9FxldGQ,checkin,18
5Udv4CASAXB2eH66TefWPQ,checkin,151
l4zq494c6zfNUJrMcd9Y1w,checkin,5
2Igiyhi82R8_QaaPplRmCw,checkin,483
Cex2R008tMFg8R5fAtf77w,checkin,69
n7G2XFGvmS3duDJ4AzjKiQ,checkin,53
8tBfgYCI6Fz9xrSYCYCYXA,checkin,5
Tb7hQ37UFA2QFaMwjFieQw,checkin,8
21hqlWgjmNgW4pBZJDuziQ,checkin,21
qemCNgjeYGcFsRwxW9x4xw,checkin,134
iudRNo5Q8W7firUBYJEqQQ,checkin,5
9rbWt_PX8qVVN-nEJv3A9Q,checkin,11
oTojBCc-Lex09Fww3QmWWg,checkin,9
WxN-aV_puFazt3UGNLlw0A,checkin,6
2X5G4Ujq0s4Wfn4TC7gX0g,checkin,652
evIbqjnN4ePd9eT4L4WsIw,checkin,14
7lDNKKxMV84KIS1OVZOepw,checkin,11
XQ7elqSFIRogvqpiTZz-Wg,checkin,42
JL5B_s1EoN4zIru4JSw4Qg,checkin,45
D9sHwmqlNkrVxmX-057i1g,checkin,12
DzOPHyrG2XuVqKEvHCnN7w,checkin,39
_8xYpVdKMllhuuf4PIvq8w,checkin,58
K8Ebs8G1rwc3DBdznHvDxg,checkin,10
SNJHgqJPj5SZhntFdsDUeg,checkin,34
IraPoq6RFLTX9KCuT0UsGw,checkin,4
h3la53L9-OX_HlfeAySh0Q,checkin,42
eXWCtwGcaJgMz6WRNR9Beg,checkin,9
1vQLTKwmcmZXtNzfKEvMmA,checkin,75
hhNlQWaKqGbMPoeZHoL-IQ,checkin,346
GEw1pLdbMlJecvQkKBIgSw,checkin,4
EiKoZpEcjG1B_r8G9laAxg,checkin,4
zvqxmVZgJ0XpJfb1Xn5jKQ,checkin,84
SgQYRICpMdWCmY7wM2Cmcw,checkin,63
TWjJpG5TqzVfJb7WeLUvMw,checkin,5
b_9N-v-me-QavqDVKQPVJQ,checkin,5
m0QsJDntW1MrWCxBVFwuAg,checkin,12
uwiD9jxs09xxXG0by_xKuA,checkin,50
f0eAe5PZMy_MEvxEEBYAcQ,checkin,49
sNmQJQWEVGheCnw5Tf4Phg,checkin,103
36a2h_kADYEoBOr3rtaj1Q,checkin,3
jrSGpWnVJy8jqgN6XSC7Nw,checkin,16
EtnMSBRlMQWrdTla-jz9RA,checkin,34
KZXtzoI84iI1CEcAnD7OPA,checkin,95
zhQzX3CxM0tdBXwGUWmxGA,checkin,44
c1ixeRdwTvNt6YLew-sSCg,checkin,10
AJiwOb0s5zpYu0NW7Jvrpg,checkin,21
zpNGtjBlIkDq_PLGSCPlAg,checkin,154
chDzLfj8CqvsJq4wzW1ZqQ,checkin,23
Ml6Up5SH9GbJQ8oyIJsj_g,checkin,22
ZS7-I04iDm4oRP_GJsJqrA,checkin,46
xSYGuHecEWP7At0HYbO5Jg,checkin,58
7ijQJV72aBrEoJCtTBCHxw,checkin,409
OmpbTu4deR3ByOo7btTTZw,checkin,10
ih6d7hBWss05xXWUznuFaw,checkin,73
oH-N5ONrsWK8jWuq8p653w,checkin,3
FtjvnLhh51ZBYEpKAARaFQ,checkin,230
z4cCguoHdU48pj6sXMIzqg,checkin,126
sbTF0cLKZH6_BP8BLARVDg,checkin,65
OxIeMVcop5oxBUWANi-1Rw,checkin,466
imzKM9-mgN1Yk_RIXx3IgA,checkin,59
1n0n_-Iz0e3iVpH8sereiA,checkin,19
IEHaU93HpEbdUO4z4bKzDw,checkin,5
9D4PMia-8WqCYXnr7TM0Pw,checkin,23
Jj7EE1vPUaKHykA7WzlIew,checkin,10
NeUf9FyCCIN4MEseNyqkXQ,checkin,807
JcP-IIrZkW_Yyv4a0yLRCw,checkin,15
4LcFKTr6Ah87VcxW2z5e6w,checkin,20
buVALudg30kgkDusqB3yJw,checkin,175
wHi8ODv7TGmeUB02XoX-mA,checkin,405
4tMGXYHN_0o0B6mnuYHhmg,checkin,5
J7I85lTCEGr9-qp6AXPUjQ,checkin,216
WXpi9z1bqF9raZSW8z70Ow,checkin,68
WV2OClFHiG0_obPY559cKA,checkin,10
j7kgLc4Uys_sb-H7_Velcg,checkin,9
DhDNNHZtaBxYNSqJz64ixg,checkin,21
PxP19Rb88OQKiSMl2oWNsg,checkin,54
9mwShpTgZofOujt4JfyGmw,checkin,182
porUqRPcw8GoTSvZoMH0ag,checkin,17
90Fqfzd8zD9AuuNBSv9lAg,checkin,88
DHAq_WmQwjk7gviKXwqnjg,checkin,23
pfS0Bd-sXZyMNr73kJPeaw,checkin,21
shrMOQmX_SX-KualwYoAzA,checkin,21
BdTRQw4z-bxVfDlv-JSb7g,checkin,8
lRM-3Fwp3RkK-wecxO8P8w,checkin,15
cWe1Xoczmj2vD5h6BOrZYg,checkin,8
KEzIorUdFjqCuxbRxKPghA,checkin,26
f0lx8pPqhcMUCJgURzMUSw,checkin,37
pvGT62T6Ci1LKOS9DL42pg,checkin,34
SWzCFTM7KHc-MncD6xxOYQ,checkin,246
_JFJMiT1xo4A-F0LiG_0WQ,checkin,19
aqNwplp89UTe8dfGXj_yKA,checkin,45
DAOt75CziuEyRyEH2hQ2JQ,checkin,13
OT3yVpDrDVITDCIYox8d9A,checkin,8
lVB0HB2PxC9OTtMcz0wagA,checkin,168
-yB1gsnF4gROLFWzZEImzg,checkin,15
8AskFIgGxqNb8RbcDCAfmA,checkin,16
A2XkbJ07hrR80t0EFgLikQ,checkin,15
fVRGT6shuyHPLzKikZsD0g,checkin,13
3jPNfiRYdu-tlJM4OGF3og,checkin,3
NqmdaI1GX8LOTRYlMGlTsw,checkin,23
1qGq_IcIQLEESnVNMQ52xQ,checkin,5
L5387MoRyx9orlRyYfCSPA,checkin,65
8BUJXN2fU15kclyTA3KhAw,checkin,3
dHDi4wCcjsOR6vcZ8oOIoA,checkin,128
hHUxynhRliO0rdjgPYesOw,checkin,69
AcD5G-u_GvLSnL4Vppq80A,checkin,9
41CXLCeB8z2oNdIOvnrzIA,checkin,92
F1dtFd0GnSioCfIo4gAtkw,checkin,8
YKQ09HGeV3_oiKp8NK7Zqg,checkin,5
NL1zxchs_XJPTdCQ-jqPDw,checkin,29
OhwF2JDqlYMZl5Rp3WRBog,checkin,4
l2gPB9mqiHSbpwSUa7zrjg,checkin,7
gfpl_GyyY5uj6zJnIdzImQ,checkin,3
l-OmDgEd4QkZpyXVpkp2yA,checkin,51
NezYty89H0PtLr76V17Z-Q,checkin,3
0FgwBx7pgmNdUtsd_T8UYQ,checkin,92
l6d9-LxY8gM6v7WxehHfwg,checkin,3
U_7v32SpCrB-0pR0B8Fg2Q,checkin,47
SzHTdZR3yY1WBYUxkVxmUQ,checkin,25
WzQrtfz7DSQEv2CK82zhcg,checkin,45
gFT2yXDXJ1qfuGOSfSU5Bw,checkin,93
cg8b1FGcl-Sytfa8UlCcjg,checkin,55
UQSGL98JH8346Uv9B9Ec0g,checkin,101
kj3qws3WSMgOotUeACSdFA,checkin,139
uILvDDCgw63_KJsZMO9GvA,checkin,78
xgcZN3F2f9LxLASQK_xzhw,checkin,62
_aGVicux2dJm9sqzLSCJtg,checkin,14
XY3sN_2uusMSU9i1WINFeg,checkin,506
uUorjstNslr3gkIsVGtQAg,checkin,60
0Lsd35rHY6UtPFHjjxJ1LA,checkin,5
Z_6hNWPNC0O-IVZ5m3kBtg,checkin,23
Bza-l75OiKcMRmTYILpyfQ,checkin,13
-TSFapUMwdyyxoi2egkOhw,checkin,7
ky28rk4PPr-d-PvTnmneIQ,checkin,12
-nfzEVOVvmDSFbxvBsllGQ,checkin,33
HmG9zkBtRwttGE291q9b6g,checkin,28
AehuBK7aJZM76mAmQ7KL2w,checkin,30
2bBxE8pEbLBETejCi_aBeg,checkin,93
1E53rS8afK2jiLod8Jwy7A,checkin,16
tyXvO1G2qK3MUfaap30auw,checkin,38
BiVbNsG2c0I32powZF4ITQ,checkin,5
niW0ggRVPW5fafcfImdK7w,checkin,480
Kro5LncwNKtp3ozb8DVvng,checkin,17
qCpd4c57U0LI7LKdAsCPbQ,checkin,6
AH1PrZQDIdjpKgy1z8XxUg,checkin,42
TASUnYvk_nvTUyKtroCJSA,checkin,106
XmdTkxKyJd7TuDLoiic1kg,checkin,261
nBl_NeArpL08MpoghDiA_A,checkin,88
J011r7mUV1QhgLJ7GkrtMw,checkin,121
A38wziZJdYoijhC5S6uWCQ,checkin,271
z4cguIVh7jL9tTPf5EqRcA,checkin,390
bWWrrsPWuoHuAGUCgH8Tyg,checkin,269
-KQ283hJkBO12u8XOrlCcQ,checkin,156
SvoJ3Y3uqDfB4iGUaWXh8Q,checkin,63
CoeLG9kcKiJQL3TfuAjQUg,checkin,24
6xEl2PDJulIp1PfWqa7-aA,checkin,240
GHfBR9yVXkLeKgobH52Jiw,checkin,145
h5zKLqoNlMozvxdkRzSiYQ,checkin,29
Lm_mR5xDF91OeZw97ch41g,checkin,15
aj4XHn7jZ48euP4g8ape-Q,checkin,12
-v31BEquLxeVPgvFHburUQ,checkin,6
E_-4Y9vn-u-dPgp33TLRUQ,checkin,231
3G8_qVxaTkkO5b70_H8YDA,checkin,33
KnlNwiIELDWAR686Bk2WJg,checkin,13
KyLEavtA-LAnDoL8p72UOw,checkin,14
XzaJf6WzpU7RsXTXzx72Xg,checkin,58
OmAWp8kUqXrW0umGdZgNUg,checkin,8
Msfys8NloDpAsWmhvC9T6A,checkin,36
PTS4MxQel-xzj5qWxVn3LQ,checkin,27
HzZmhlRNLtPkMI0egh9Oig,checkin,6
IvgKdlte_JNdd17XRxkOrg,checkin,17
xAtaxa8D7Sv58q94OMaNCA,checkin,27
bDK_jzy3Shx7jfn8_plNoA,checkin,25
PhIGoo9g6GBrqgH_6yZXXQ,checkin,80
uBW3PIKqc-_eyG1_vdJn1w,checkin,107
zczKkfpjz510tZK0SnHYDQ,checkin,21
DsxLIr-b6WlDn9YNsVBu_A,checkin,80
JrHGyyojkdJqc8pD8I3GEA,checkin,16
FD6OocZdFUfE2J5H0WN4fA,checkin,29
JtViWM5LYyQ22uq2DYqt6A,checkin,5
LN3OCT1xOedbf65xKzFSNw,checkin,76
CW4Qx9vk9D1o47Qgld5PLA,checkin,25
tQpYnf3P3Q_OQLYYJvlV-A,checkin,90
KH6stvNdq_aV0HvKw8P5yA,checkin,58
34TBKRXYq1JHe4kYlHW2Eg,checkin,5
nUISXnW2Jo9ovnoFBIUY_Q,checkin,9
dxCqGkhtXq-9fYEsX7Mf6Q,checkin,227
_y7PECWjxr_E-hhmDVdEjw,checkin,5
--UE_y6auTgq3FXlvUMkbw,checkin,305
YTqSkgOiiI9HG3hNH7ovfg,checkin,49
vgXE1I7c9ElcfYyZfQiN1Q,checkin,298
AANB0f7QapfE3WxDiqb9hA,checkin,7
-Nanlb7SYXObqQ6dZ49UOg,checkin,124
DiPbxquQQHSgz123I27Drg,checkin,71
3_3yJMo2dTPeq8woOW69IA,checkin,18
3zgswf_NfBJpeAoWeTkgMA,checkin,115
uOwuJJhGaiAzuaDY7-o14g,checkin,41
kel3Wb4pLYL0l2_QujLOWg,checkin,26
7XXmky6YYjsvKFwho_eavg,checkin,108
o_wRqOpli9kyZGXlJtLLdA,checkin,66
5MChfa-jZfMo3vBpolkSbw,checkin,68
sxeuOMBRllOHXJTaUlI9kQ,checkin,199
ptmsW2SSeFD2I6vspJs0lQ,checkin,56
r8jeeS3k_diihMDSu9IjlA,checkin,207
3OViesv3-RkPDyvdxW16sg,checkin,18
cKtBFMESwsUWxTv6QjkTGQ,checkin,21
cH8I7JgPXcrcutT1a3YrjQ,checkin,21
DEH4worm2017xT3KHLoyAw,checkin,11
FPYLsdwADbnpDrYgphI1jQ,checkin,3
dQjaHoo89bLymdMm4S5_1g,checkin,30
gCiKiqPGAC_ZVt5bBcwnrw,checkin,68
rbg3POnoegWx0RQ0KGd0sA,checkin,19
UjJMQguryo1jypomvOCZgg,checkin,12
dpRsK3JyaD3GKorVWzQUmA,checkin,25
vWnwaD-kykqiEc2Q0hbYsw,checkin,22
T4D7wX6GuCYChwRmser-0A,checkin,5
cESul2ojJOjadz-7BKB5eg,checkin,40
xUf11yTcoRagwNiJcY8GAA,checkin,7
hbFCv2Rginf9zjai-lKUNg,checkin,44
vs3UrHaSnzFOxmFU2UAfxQ,checkin,8
uaq6yp0CBPzJvtRU8rQJrg,checkin,4
x2y1d9-v6ReSXJasCagyNg,checkin,13
6-rJjW6ITl5o_FliiNgZRA,checkin,231
mPlWLIA4pkHMRtlQDm6UyQ,checkin,240
sa3xqElJEv97MazozLeszw,checkin,44
tDGZPb1XIR5yGCL7pNwU4g,checkin,13
MkrQV_nyxyC1F5ut5KxDMQ,checkin,81
KZlFb1qDi8YSZJH2A2Nn3A,checkin,33
i5bPwhPg6GqXvWMdl8a_SA,checkin,3
7FRn0CFWQmZFu8bcEqrXMw,checkin,14
1RV8xKft7cvG-OjED8_RIg,checkin,63
jJfTh2O3M2Q716akd9Dr9w,checkin,138
3obPG5F_6rbAu86CuiNW4g,checkin,7
jLgIlhi_A78JG-43C8e63Q,checkin,21
mugOAOmylJu5p85Jz_zqOQ,checkin,17
IrI9nBmRKIGFYnnmrHeqtQ,checkin,3
NaRkccIbBE3gt-3fne_bDA,checkin,155
MAg0VhVZ-zU3Ug7dvL3tCQ,checkin,11
oItmTIocKzvXlLgJhzQ5qw,checkin,31
yeOblic0w0FOlXwMhuGjwA,checkin,15
DJKpwLp4mISNDNDpNz67tw,checkin,85
7f7P9SCQgBRSMYXbsnDGDQ,checkin,5
yp4Erq_kG7Zi6Bssc07Oxg,checkin,12
1qUYk564SajvwTtkNM6KJA,checkin,374
2sNSF2ttXEQKV7gADC6-Pw,checkin,126
bbfdJ1dkwWNww1m_SfyDnQ,checkin,20
VJe-sf7dBY6GRGO6TcqzTA,checkin,37
9SPwF-vRgtuHxciFxv5YLA,checkin,465
Cy9XgM3ZG2jZ1ganvolb6Q,checkin,151
LHyGQnuWR2q44bsrw1ZLAg,checkin,62
rgmptwPbBH1wLpiBHcbIhA,checkin,743
NUohh--5lVY8pu61uy9oEw,checkin,9
20DyG_lwW8ymzA-0dhQpsA,checkin,468
uXuiI-Y998JChGn-ebcSdw,checkin,43
i_nkxbd7feg44QkdbG05UA,checkin,175
eDWRhZxP_hUrgLgVZXlcuw,checkin,9
17Zp0inFGLaQsxMBapdh4Q,checkin,89
vSZDiKiF8vf9zt_BcDL7GQ,checkin,169
DkX3YoxhH4uADsgVgQThew,checkin,130
yWVY1Bq19lDxu3BP7_96EQ,checkin,168
yYyWwqPiLJO7eWRt0g_PBg,checkin,338
sQWSHCIH_HUT4HUXaxDaBA,checkin,124
3UL1To_gn_eOY5iFH5oBxA,checkin,13
Ig74RHJuf1DbDmJNWQ-HpQ,checkin,10
jwxhi--674LLCnvqJL7SRQ,checkin,95
rUQfZOengMpXFkLvJrNJ3g,checkin,12
GRrvJchtxskNDsGYUPPzzg,checkin,43
UnxC_75OQ3hS4bB_onepOw,checkin,7
ZLO5b4ZOJsBNHF0Bp1iXZQ,checkin,3
Tfysaq2SdZAc5_TyPpuyLA,checkin,996
S0Sx_pYkZbneeQzxLm9MnA,checkin,13
bcJ005JZRd4tkNb7i6oynA,checkin,17
4q2nThFVuU3BZoEMkYQ1yg,checkin,98
Oq5MyNxNi-xuXdPOWR9O_g,checkin,18
Lgyc-00L5pAELhjwUjAz-w,checkin,118
-XU3QZBluANMAvzS9xGQAg,checkin,15
_iZjif9s-jF_Oju_1fhVog,checkin,16
xgK6AAhJ-cYBUCSaLzgTuw,checkin,203
Z-BI5HJmC2HcpiVuXwVM3A,checkin,46
R27IDAXpEPNGqCQ4uztrPQ,checkin,9
rYdzYIpVH_75GlHaj_ZfEg,checkin,3
VJG4T5gCHqav9Y96upKgUw,checkin,7
TIPebazlAGJsp8zAwhNkcw,checkin,85
TxKmAsKQjND5vbhBdUSyIA,checkin,401
cmGR1HS9ms233roSllcglw,checkin,53
n1dklY6GFnpVLKwQE6kxGw,checkin,42
g_XU88LhAeONO46eA_i4Fg,checkin,8
mXHBxHrAJPnPWnm_OKuZTQ,checkin,64
Q9BXMPu2HnRDMq9X_2rHrQ,checkin,86
MW0EsqEBHmasU0vHYhRYcw,checkin,7
5nEnDOd9zKYa_J5SO56-LA,checkin,8
jeS38QWMVkA6S-4lMi1Frg,checkin,16
QlHQzegL2Ew3z5YgK0ZeOw,checkin,23
a8iKaMFikYzoARDkrxnybA,checkin,135
q5g_zeAdwsZQp0p9GPnTJw,checkin,5
FSm1Vy5jtDwsLSJxuNCOPw,checkin,10
T98g104RdMIWJSPjEGMBug,checkin,7
jc23sKVXBHM8WNLeDE3Eug,checkin,7
1wgd9o7LQAWfb7E6Vw_wOQ,checkin,83
bg1e__l7Jh3oDhasW5KFvw,checkin,10
L7KHl7v7g3gDxUEpAt9z-g,checkin,4
Sr98G9lk8nWMGOoxO_fUQA,checkin,5
7QBJDNVH6VPAStSvOM_lZA,checkin,6
Ln34kwDUNZPLhVhUqauLWQ,checkin,12
G35Hz7qpBKqrOiDevcfh7A,checkin,8
ucgQhC2-OzxSa1yX1I095g,checkin,7
hxWwXE1mqNuSghYBr5bLWg,checkin,14
PfAjfYv2AA50NxwhLrJG8A,checkin,16
WrP8KeKTlWcjqQPj2DJKGQ,checkin,8
jrW-kJr9G8_CQK-o-QxH6A,checkin,36
1QhIsblyEViEWc53FmxH_Q,checkin,7
AK8T92URfkOUoTAVd7l2EA,checkin,195
XxWRdwYhYqBeUelix0qSFg,checkin,42
-tcf1WSfc2iNRf75AMW6pw,checkin,37
dwz55gqPZwSBD74yFFb27g,checkin,69
